hwnd=0x234057a vis=0 class=.NET-BroadcastEventWindow.4.0.0.0.156ba37.0 pid=   844(vctip.exe           ) rect=[0,0 0x0] title=".NET-BroadcastEventWindow.4.0.0.0.156ba37.0"
hwnd=0x203e4 vis=0 class=00007FF623D2DC18-PAL_SYS_WIN32_TIMER_WNDCLASS pid=  7692(rdpclip.exe         ) rect=[0,0 136x39] title=""
hwnd=0x9027a vis=0 class=00007FFC98AFDBF4-PAL_SYS_WIN32_TIMER_WNDCLASS pid= 16704(msrdc.exe           ) rect=[0,0 136x39] title=""
hwnd=0xa03c6 vis=0 class=00007FFC98AFDBF4-PAL_SYS_WIN32_TIMER_WNDCLASS pid= 16704(msrdc.exe           ) rect=[0,0 136x39] title=""
hwnd=0x10052 vis=0 class=AMD EEU Client                           pid=  3852(?                   ) rect=[0,0 0x0] title="AMD EEU Client"
hwnd=0x4005a vis=0 class=ATL:00007FFCB3ACF000                     pid=  5676(SecurityHealthSystray.exe) rect=[0,0 0x0] title=""
hwnd=0x20322 vis=1 class=ApplicationFrameWindow                   pid= 10812(ApplicationFrameHost.exe) rect=[-8,-8 656x448] title="Settings"
hwnd=0x10134 vis=0 class=ApplicationManager_DesktopShellWindow    pid=  8008(explorer.exe        ) rect=[0,0 0x0] title=""
hwnd=0x900b2 vis=0 class=Base_PowerMessageWindow                  pid= 11204(Docker Desktop.exe  ) rect=[0,0 0x0] title=""
hwnd=0x1020c vis=0 class=BluetoothNotificationAreaIconWindowClass pid=  8008(explorer.exe        ) rect=[0,0 136x39] title="BluetoothNotificationAreaIconWindowClass"
hwnd=0x1047e vis=1 class=CASCADIA_HOSTING_WINDOW_CLASS            pid=  7836(WindowsTerminal.exe ) rect=[44,52 804x635] title="Windows PowerShell"
hwnd=0x2610274 vis=1 class=CASCADIA_HOSTING_WINDOW_CLASS            pid=  7836(WindowsTerminal.exe ) rect=[44,52 660x500] title="C:\\WINDOWS\\system32\\cmd.exe "
